bill_number,ai_classifier_db_status,deterministic_classifier,match,human_flagged_misclassification,dead,unmatched_count,newest_chamber,newest_date,newest_status_line
HB1518,governorSigns,governorSigns,YES,,,0,S,5/26/2026,"Act 028, 05/22/2026 (Gov. Msg. No. 1128)."
HB1561,waiting2,waiting2,YES,,,0,H,2/17/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Lee, M., Poepoe excused (3)."
HB1570,introduced,introduced,YES,,,0,H,1/26/2026,"Referred to AGR/EEP, CPC, FIN, referral sheet 1"
HB1571,scheduled2,scheduled2,YES,,,0,H,2/26/2026,The committee(s) on CPC recommend(s) that the measure be deferred.
HB1572,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB1585,introduced,introduced,YES,,,0,H,1/26/2026,"Referred to HSH, ECD, FIN, referral sheet 1"
HB1596,crossoverWaiting1,crossoverWaiting1,YES,,,0,S,3/10/2026,Passed First Reading.
HB1601,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB1602,scheduled2,scheduled2,YES,,,0,H,2/23/2026,The committee(s) on FIN recommend(s) that the measure be deferred.
HB1603,crossoverScheduled2,crossoverScheduled2,YES,,,0,S,4/1/2026,The committee on JDC deferred the measure.
HB1604,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB1605,conferenceScheduled,conferenceScheduled,YES,,,0,H,4/30/2026,Conference Committee Meeting will reconvene on Friday 05-01-26 3:30PM in conference room 229.
HB1606,waiting2,waiting2,YES,,,0,H,2/4/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with Representative(s) Alcos, Gedeon, Matsumoto, Reyes Oda, Shimizu voting aye with reservations; Representative(s) Amato, Garcia, Muraoka, Perruso, Pierick voting no (5) and Representative(s) Kitagawa excused (1)."
HB1611,scheduled2,scheduled2,YES,,,0,H,2/18/2026,The committee(s) on JHA recommend(s) that the measure be deferred.
HB1616,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB1617,waiting2,waiting2,YES,,,0,H,2/18/2026,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with Representative(s) Reyes Oda voting aye with reservations; Representative(s) Alcos, Amato, Garcia, Gedeon, Matsumoto, Muraoka, Pierick voting no (7) and none excused (0)."
HB1621,waiting2,waiting2,YES,,,0,H,2/11/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Holt excused (1).
HB1652,scheduled2,scheduled2,YES,,,0,H,2/25/2026,The committee(s) on FIN recommend(s) that the measure be deferred.
HB1699,introduced,introduced,YES,,,0,H,1/30/2026,This measure has been deleted from the meeting scheduled on Tuesday 02-03-26 9:00AM in conference room 329 VIA VIDEOCONFERENCE.
HB1703,waiting3,waiting3,YES,,,0,H,2/18/2026,Report adopted; referred to the committee(s) on JHA as amended in HD 2 with none voting aye with reservations; none voting no (0) and none excused (0).
HB1707,governorSigns,governorSigns,YES,,,0,S,6/4/2026,"Act 068, 06/03/2026 (Gov. Msg. No. 1168)."
HB1737,governorSigns,governorSigns,YES,,,0,S,5/26/2026,"Act 034, 05/26/2026 (Gov. Msg. No. 1134)."
HB1738,crossoverScheduled1,crossoverScheduled1,YES,,,0,S,3/19/2026,The committee on EIG deferred the measure.
HB1747,scheduled1,scheduled1,YES,,,0,H,2/3/2026,The committee(s) on HSH recommend(s) that the measure be deferred.
HB1754,introduced,introduced,YES,,,0,H,1/26/2026,"Referred to ECD, HLT, FIN, referral sheet 1"
HB1766,introduced,introduced,YES,,,0,H,1/26/2026,"Referred to AGR/EEP, FIN, referral sheet 1"
HB1779,crossoverWaiting1,crossoverWaiting1,YES,,,0,S,3/10/2026,Passed First Reading.
HB1817,waiting2,waiting2,YES,,,0,H,2/20/2026,Passed Second Reading as amended in HD 1 and referred to the committee(s) on JHA with none voting aye with reservations; none voting no (0) and Representative(s) Quinlan excused (1).
HB1823,governorSigns,governorSigns,YES,false_negative,,0,S,6/4/2026,"Act 070, 06/03/2026 (Gov. Msg. No. 1170)."
HB1828,scheduled1,scheduled1,YES,,,0,H,2/4/2026,The committee(s) on AGR recommend(s) that the measure be deferred.
HB1830,introduced,introduced,YES,,,0,H,1/26/2026,"Referred to AGR, FIN, referral sheet 1"
HB1831,crossoverWaiting1,crossoverWaiting1,YES,,,0,S,3/10/2026,"Referred to AEN/HHS, WAM."
HB1832,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/24/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB1874,scheduled1,scheduled1,YES,,,0,H,2/5/2026,The committee(s) on LAB recommend(s) that the measure be deferred.
HB1880,crossoverScheduled1,crossoverScheduled1,YES,,,0,S,3/25/2026,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 2 Aye(s): Senator(s) Gabbard, Rhoads; Aye(s) with reservations: none ; 3 No(es): Senator(s) Richards, DeCoite, Awa; and 0 Excused: none."
HB1929,conferenceScheduled,conferenceScheduled,YES,,,0,S,4/29/2026,Conference committee meeting to reconvene on 04-30-26 9:30AM; Conference Room 325.
HB1931,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to JDC/WAM."
HB1951,waiting3,waiting3,YES,,,0,H,2/20/2026,Report adopted; referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Quinlan excused (1).
HB1952,passedCommittees,passedCommittees,YES,,,0,S,4/16/2026,Received notice of disagreement (Hse. Com. No. 599).
HB1953,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2014,introduced,introduced,YES,,,0,H,1/28/2026,"Referred to AGR, CPC, referral sheet 3"
HB2015,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/24/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to CPN."
HB2017,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/30/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2032,introduced,introduced,YES,,,0,H,1/28/2026,"Referred to ECD, FIN, referral sheet 3"
HB2047,crossoverWaiting1,crossoverWaiting1,YES,false_negative,,0,S,3/23/2026,The committee(s) on WLA/HWN deleted the measure from the public hearing scheduled on 03-24-26 1:01PM; CR 224 & Videoconference.
HB2119,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/24/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2135,introduced,introduced,YES,,,0,H,1/28/2026,"Referred to AGR, ECD, FIN, referral sheet 4"
HB2139,crossoverScheduled2,crossoverScheduled2,YES,,,0,S,4/1/2026,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
HB2152,governorSigns,governorSigns,YES,,,0,S,6/9/2026,"Act 114, 06/08/2026 (Gov. Msg. No. 1214)."
HB2155,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,3/24/2026,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
HB2176,introduced,introduced,YES,,,0,H,1/30/2026,"Referred to LMG, FIN, referral sheet 5"
HB2207,governorSigns,governorSigns,YES,,,0,S,6/5/2026,"Act 103, 06/05/2026 (Gov. Msg. No. 1203)."
HB2208,conferenceScheduled,conferenceScheduled,YES,,,0,H,5/1/2026,Conference Committee Meeting will reconvene on Friday 05-01-26 5:05PM in conference room 329.
HB2216,crossoverWaiting2,crossoverWaiting2,YES,,,0,S,4/8/2026,The committee on WAM has deleted the measure from decision making scheduled on 04-09-26 10:55AM; CR 211 & Videoconference.
